device,location,ru
nrt12-72-p6-sw1-wsoob-con-r1,NRT72.03-1.03-01-003-101,40
nrt12-72-p6-sw1-wsoob-con-r2,NRT72.03-1.03-01-003-101,39
nrt12-72-p6-sw2-wsoob-con-r1,NRT72.03-1.03-01-003-101,37
nrt12-72-p6-sw2-wsoob-con-r2,NRT72.03-1.03-01-003-101,36
nrt12-72-p6-wsoob-con-acc-sw1,NRT72.03-1.03-01-003-101,34
nrt12-72-p6-wsoob-con-acc-sw2,NRT72.03-1.03-01-003-101,33
nrt12-72-p6-esoob-con-acc-sw1,NRT72.03-1.03-01-003-101,31
nrt12-72-p6-esoob-con-acc-sw2,NRT72.03-1.03-01-003-101,30
nrt12-72-p6-wsoob-con-acc-sw1-tor1,NRT72.03-1.03-01-003-101,28
nrt12-72-p6-wsoob-con-acc-sw2-tor1,NRT72.03-1.03-01-003-101,27
nrt12-72-p6-esoob-con-acc-sw1-tor1,NRT72.03-1.03-01-003-101,25
nrt12-72-p6-esoob-con-acc-sw2-tor1,NRT72.03-1.03-01-003-101,24
nrt12-72-p6-esoob-con-acc-sw1-tor2,NRT72.03-1.03-01-003-101,22
nrt12-72-p6-wsoob-pod-agg-r1,NRT72.03-1.03-01-003-101,16
nrt12-72-p6-esoob-pod-agg-r1,NRT72.03-1.03-01-003-101,15
nrt12-72-co-acc-sw061,NRT72.03-1.03-01-003-101,12
nrt12-72-co-acc-sw062,NRT72.03-1.03-01-003-101,11
nrt12-72-p6-sw5-wsoob-con-r1,NRT72.03-1.03-01-011-101,40
nrt12-72-p6-sw5-wsoob-con-r2,NRT72.03-1.03-01-011-101,39
nrt12-72-p6-sw6-wsoob-con-r1,NRT72.03-1.03-01-011-101,37
nrt12-72-p6-sw6-wsoob-con-r2,NRT72.03-1.03-01-011-101,36
nrt12-72-p6-wsoob-con-acc-sw5,NRT72.03-1.03-01-011-101,34
nrt12-72-p6-wsoob-con-acc-sw6,NRT72.03-1.03-01-011-101,33
nrt12-72-p6-esoob-con-acc-sw5,NRT72.03-1.03-01-011-101,31
nrt12-72-p6-esoob-con-acc-sw6,NRT72.03-1.03-01-011-101,30
nrt12-72-p6-wsoob-con-acc-sw5-tor1,NRT72.03-1.03-01-011-101,28
nrt12-72-p6-wsoob-con-acc-sw6-tor1,NRT72.03-1.03-01-011-101,27
nrt12-72-p6-esoob-con-acc-sw5-tor1,NRT72.03-1.03-01-011-101,25
nrt12-72-p6-esoob-con-acc-sw6-tor1,NRT72.03-1.03-01-011-101,24
nrt12-72-p6-esoob-con-acc-sw5-tor2,NRT72.03-1.03-01-011-101,22
nrt12-72-p6-sw7-wsoob-con-r1,NRT72.03-1.03-01-015-61,40
nrt12-72-p6-sw7-wsoob-con-r2,NRT72.03-1.03-01-015-61,39
nrt12-72-p6-sw8-wsoob-con-r1,NRT72.03-1.03-01-015-61,37
nrt12-72-p6-sw8-wsoob-con-r2,NRT72.03-1.03-01-015-61,36
nrt12-72-p6-wsoob-con-acc-sw7,NRT72.03-1.03-01-015-61,34
nrt12-72-p6-wsoob-con-acc-sw8,NRT72.03-1.03-01-015-61,33
nrt12-72-p6-esoob-con-acc-sw7,NRT72.03-1.03-01-015-61,31
nrt12-72-p6-esoob-con-acc-sw8,NRT72.03-1.03-01-015-61,30
nrt12-72-p6-wsoob-con-acc-sw7-tor1,NRT72.03-1.03-01-015-61,28
